AL,NCBI_SEQ_ID,VERS_ACCESS
 2191         , 52143424     ,YP_083405.1   
 2192         , 52143451     ,YP_083378.1   
 2193         , 52143458     ,YP_083370.1   
 2194         , 52143496     ,YP_083334.1   
 2195         , 52143565     ,YP_083264.1   
 2196         , 52143567     ,YP_083263.1   
 2197         , 52143584     ,YP_083246.1   
 2198         , 52143623     ,YP_083206.1   
 2199         , 52143784     ,YP_083044.1   
 2200         , 52143931     ,YP_082898.1   
 2201         , 52143936     ,YP_082892.1   
 2202         , 52143937     ,YP_082891.1   
 2203         , 52143939     ,YP_082890.1   
 2204         , 52143945     ,YP_082883.1   
 2205         , 52144020     ,YP_082808.1   
 2206         , 52144092     ,YP_082736.1   
 2207         , 52144093     ,YP_082735.1   
 2208         , 52144095     ,YP_082733.1   
 2209         , 52144097     ,YP_082732.1   
 2210         , 52144145     ,YP_082684.1   
 2211         , 52144151     ,YP_082678.1   
 2212         , 52144152     ,YP_082676.1   
 2213         , 52144420     ,YP_082411.1   
 2214         , 52144564     ,YP_082264.1   
 2215         , 52144690     ,YP_082138.1   
 2216         , 52144803     ,YP_082027.1   
 2217         , 52144819     ,YP_082010.1   
 2218         , 52144896     ,YP_081933.1   
 2219         , 52144927     ,YP_081902.1   
 2220         , 52144930     ,YP_081901.1   
 2221         , 52144945     ,YP_081883.1   
 2222         , 52144949     ,YP_081880.1   
 2223         , 52144950     ,YP_081879.1   
 2224         , 52144952     ,YP_081878.1   
 2225         , 52144956     ,YP_081874.1   
 2226         , 52144958     ,YP_081872.1   
 2227         , 52144972     ,YP_081857.1   
 2228         , 52144977     ,YP_081854.1   
 2229         , 52145005     ,YP_081824.1   
 2230         , 52145025     ,YP_081804.1   
 2231         , 52145027     ,YP_081802.1   
 2232         , 52145028     ,YP_081801.1   
 2233         , 52145033     ,YP_081796.1   
 2234         , 52145048     ,YP_081780.1   
 2235         , 52145062     ,YP_081768.1   
 2236         , 52145077     ,YP_081752.1   
 2237         , 52145083     ,YP_081747.1   
 2238         , 52145085     ,YP_081743.1   
 2239         , 52145087     ,YP_081742.1   
 2240         , 52145090     ,YP_081741.1   
 2241         , 52145093     ,YP_081732.1   
 2242         , 52145095     ,YP_081734.1   
 2243         , 52145097     ,YP_081736.1   
 2244         , 52145101     ,YP_081728.1   
 2245         , 52145105     ,YP_081724.1   
 2246         , 52145107     ,YP_081723.1   
 2247         , 52145108     ,YP_081721.1   
 2248         , 52145116     ,YP_081713.1   
 2249         , 52145121     ,YP_081707.1   
 2250         , 52145127     ,YP_081701.1   
 2251         , 52145130     ,YP_081699.1   
 2252         , 52145139     ,YP_081689.1   
 2253         , 52145175     ,YP_081654.1   
 2254         , 52145196     ,YP_081631.1   
 2255         , 52145203     ,YP_081625.1   
 2256         , 52145204     ,YP_081624.1   
 2257         , 52145209     ,YP_086431.1   
 2258         , 52145257     ,YP_086714.1   
 2259         , 52145275     ,YP_086732.1   
 2260         , 52783861     ,YP_089690.1   
 2261         , 52783862     ,YP_089691.1   
 2262         , 52783868     ,YP_089697.1   
 2263         , 52783899     ,YP_089728.1   
 2264         , 52783938     ,YP_089767.1   
 2265         , 52783948     ,YP_089777.1   
 2266         , 52783950     ,YP_089779.1   
 2267         , 52783955     ,YP_089784.1   
 2268         , 52783957     ,YP_089786.1   
 2269         , 52783963     ,YP_089792.1   
 2270         , 52783971     ,YP_089800.1   
 2271         , 52783973     ,YP_089802.1   
 2272         , 52783974     ,YP_089803.1   
 2273         , 52783978     ,YP_089807.1   
 2274         , 52783982     ,YP_089811.1   
 2275         , 52783984     ,YP_089813.1   
 2276         , 52783986     ,YP_089815.1   
 2277         , 52783991     ,YP_089820.1   
 2278         , 52783992     ,YP_089821.1   
 2279         , 52783993     ,YP_089822.1   
 2280         , 52783999     ,YP_089828.1   
 2281         , 52784004     ,YP_089833.1   
 2282         , 52784032     ,YP_089861.1   
 2283         , 52784192     ,YP_090021.1   
 2284         , 52784430     ,YP_090259.1   
 2285         , 52784488     ,YP_090317.1   
 2286         , 52784494     ,YP_090323.1   
 2287         , 52784496     ,YP_090325.1   
 2288         , 52784500     ,YP_090329.1   
 2289         , 52784501     ,YP_090330.1   
 2290         , 52784502     ,YP_090331.1   
 2291         , 52784505     ,YP_090334.1   
 2292         , 52784530     ,YP_090359.1   
 2293         , 52784531     ,YP_090360.1   
 2294         , 52784725     ,YP_090554.1   
 2295         , 52784981     ,YP_090810.1   
 2296         , 52784983     ,YP_090812.1   
 2297         , 52785003     ,YP_090832.1   
 2298         , 52785004     ,YP_090833.1   
 2299         , 52785181     ,YP_091010.1   
 2300         , 52785431     ,YP_091260.1   
 2301         , 52785521     ,YP_091350.1   
 2302         , 52785528     ,YP_091357.1   
 2303         , 52785529     ,YP_091358.1   
 2304         , 52785531     ,YP_091360.1   
 2305         , 52785534     ,YP_091363.1   
 2306         , 52785535     ,YP_091364.1   
 2307         , 52785552     ,YP_091381.1   
 2308         , 52785562     ,YP_091391.1   
 2309         , 52785571     ,YP_091400.1   
 2310         , 52785585     ,YP_091414.1   
 2311         , 52785631     ,YP_091460.1   
 2312         , 52785637     ,YP_091466.1   
 2313         , 52785644     ,YP_091473.1   
 2314         , 52785647     ,YP_091476.1   
 2315         , 52785659     ,YP_091488.1   
 2316         , 52785661     ,YP_091490.1   
 2317         , 52785670     ,YP_091499.1   
 2318         , 52785676     ,YP_091505.1   
 2319         , 52785920     ,YP_091749.1   
 2320         , 52785984     ,YP_091813.1   
 2321         , 52786068     ,YP_091897.1   
 2322         , 52786142     ,YP_091971.1   
 2323         , 52786143     ,YP_091972.1   
 2324         , 52786145     ,YP_091974.1   
 2325         , 52786146     ,YP_091975.1   
 2326         , 52786187     ,YP_092016.1   
 2327         , 52786211     ,YP_092040.1   
 2328         , 52786291     ,YP_092120.1   
 2329         , 52786403     ,YP_092232.1   
 2330         , 52786448     ,YP_092277.1   
 2331         , 52786452     ,YP_092281.1   
 2332         , 52786473     ,YP_092302.1   
 2333         , 52786474     ,YP_092303.1   
 2334         , 52786475     ,YP_092304.1   
 2335         , 52786492     ,YP_092321.1   
 2336         , 52786494     ,YP_092323.1   
 2337         , 52786603     ,YP_092432.1   
 2338         , 52786614     ,YP_092443.1   
 2339         , 52786615     ,YP_092444.1   
 2340         , 52786632     ,YP_092461.1   
 2341         , 52786670     ,YP_092499.1   
 2342         , 52786679     ,YP_092508.1   
 2343         , 52786684     ,YP_092513.1   
 2344         , 52786691     ,YP_092520.1   
 2345         , 52786724     ,YP_092553.1   
 2346         , 52786728     ,YP_092557.1   
 2347         , 52786729     ,YP_092558.1   
 2348         , 52786745     ,YP_092574.1   
 2349         , 52786746     ,YP_092575.1   
 2350         , 52786773     ,YP_092602.1   
 2351         , 52786809     ,YP_092638.1   
 2352         , 52786843     ,YP_092672.1   
 2353         , 52786900     ,YP_092729.1   
 2354         , 52786920     ,YP_092749.1   
 2355         , 52787105     ,YP_092934.1   
 2356         , 52787346     ,YP_093175.1   
 2357         , 52787349     ,YP_093178.1   
 2358         , 52787393     ,YP_093222.1   
 2359         , 52787411     ,YP_093240.1   
 2360         , 52787417     ,YP_093246.1   
 2361         , 52787418     ,YP_093247.1   
 2362         , 52787419     ,YP_093248.1   
 2363         , 52787439     ,YP_093268.1   
 2364         , 52787440     ,YP_093269.1   
 2365         , 52787603     ,YP_093432.1   
 2366         , 52787604     ,YP_093433.1   
 2367         , 52787606     ,YP_093435.1   
 2368         , 52787610     ,YP_093439.1   
 2369         , 52787613     ,YP_093442.1   
 2370         , 52787641     ,YP_093470.1   
 2371         , 52787649     ,YP_093478.1   
 2372         , 52787718     ,YP_093547.1   
 2373         , 52788013     ,YP_093842.1   
 2374         , 55377005     ,YP_134855.1   
 2375         , 55377019     ,YP_134869.1   
 2376         , 55377055     ,YP_134905.1   
 2377         , 55377124     ,YP_134974.1   
 2378         , 55377170     ,YP_135020.1   
 2379         , 55377184     ,YP_135034.1   
 2380         , 55377213     ,YP_135063.1   
 2381         , 55377238     ,YP_135088.1   
 2382         , 55377265     ,YP_135115.1   
 2383         , 55377328     ,YP_135178.1   
 2384         , 55377339     ,YP_135189.1   
 2385         , 55377341     ,YP_135191.1   
 2386         , 55377342     ,YP_135192.1   
 2387         , 55377558     ,YP_135408.1   
 2388         , 55377640     ,YP_135490.1   
 2389         , 55377677     ,YP_135527.1   
 2390         , 55377821     ,YP_135671.1   
 2391         , 55378025     ,YP_135875.1   
 2392         , 55378077     ,YP_135927.1   
 2393         , 55378085     ,YP_135935.1   
 2394         , 55378142     ,YP_135992.1   
 2395         , 55378175     ,YP_136025.1   
 2396         , 55378216     ,YP_136066.1   
 2397         , 55378228     ,YP_136078.1   
 2398         , 55378297     ,YP_136147.1   
 2399         , 55378382     ,YP_136232.1   
 2400         , 55378412     ,YP_136262.1   
 2401         , 55378488     ,YP_136338.1   
 2402         , 55378619     ,YP_136469.1   
 2403         , 55378620     ,YP_136470.1   
 2404         , 55378621     ,YP_136471.1   
 2405         , 55378823     ,YP_136673.1   
 2406         , 55378921     ,YP_136771.1   
 2407         , 55379038     ,YP_136888.1   
 2408         , 55379093     ,YP_136943.1   
 2409         , 55379096     ,YP_136946.1   
 2410         , 55379097     ,YP_136947.1   
 2411         , 55379209     ,YP_137059.1   
 2412         , 55379213     ,YP_137063.1   
 2413         , 55379275     ,YP_137125.1   
 2414         , 55379286     ,YP_137136.1   
 2415         , 55379307     ,YP_137157.1   
 2416         , 55379406     ,YP_137256.1   
 2417         , 55379420     ,YP_137270.1   
 2418         , 55379537     ,YP_137387.1   
 2419         , 55379555     ,YP_137405.1   
 2420         , 55379558     ,YP_137408.1   
 2421         , 55379581     ,YP_137431.1   
 2422         , 55379587     ,YP_137437.1   
 2423         , 55379620     ,YP_137470.1   
 2424         , 55379708     ,YP_137558.1   
 2425         , 55379731     ,YP_137581.1   
 2426         , 55379736     ,YP_137586.1   
 2427         , 55379745     ,YP_137595.1   
 2428         , 55379749     ,YP_137599.1   
 2429         , 55379763     ,YP_137613.1   
 2430         , 55379775     ,YP_137625.1   
 2431         , 55379885     ,YP_137735.1   
 2432         , 55379886     ,YP_137736.1   
 2433         , 55379891     ,YP_137741.1   
 2434         , 55379905     ,YP_137755.1   
 2435         , 55379957     ,YP_137807.1   
 2436         , 55379994     ,YP_137844.1   
 2437         , 55380002     ,YP_137852.1   
 2438         , 57116690     ,YP_177691.1   
 2439         , 57116728     ,YP_177723.1   
 2440         , 57116764     ,YP_177630.1   
 2441         , 57116769     ,YP_177747.1   
 2442         , 57116856     ,YP_177804.1   
 2443         , 57116938     ,YP_177856.1   
 2444         , 57116992     ,YP_177883.1   
 2445         , 57117021     ,YP_177905.1   
 2446         , 57117041     ,YP_177915.1   
 2447         , 57117128     ,YP_177992.1   
 2448         , 62178582     ,YP_214999.1   
 2449         , 62178583     ,YP_215000.1   
 2450         , 62178610     ,YP_215027.1   
 2451         , 62178631     ,YP_215048.1   
 2452         , 62178655     ,YP_215072.1   
 2453         , 62178785     ,YP_215202.1   
 2454         , 62178788     ,YP_215205.1   
 2455         , 62178800     ,YP_215217.1   
 2456         , 62178893     ,YP_215310.1   
 2457         , 62178997     ,YP_215414.1   
 2458         , 62179028     ,YP_215445.1   
 2459         , 62179061     ,YP_215478.1   
 2460         , 62179099     ,YP_215516.1   
 2461         , 62179143     ,YP_215560.1   
 2462         , 62179146     ,YP_215563.1   
 2463         , 62179245     ,YP_215662.1   
 2464         , 62179248     ,YP_215665.1   
 2465         , 62179308     ,YP_215725.1   
 2466         , 62179344     ,YP_215761.1   
 2467         , 62179366     ,YP_215783.1   
 2468         , 62179482     ,YP_215899.1   
 2469         , 62179487     ,YP_215904.1   
 2470         , 62179502     ,YP_215919.1   
 2471         , 62179581     ,YP_215998.1   
 2472         , 62179713     ,YP_216130.1   
 2473         , 62179896     ,YP_216313.1   
 2474         , 62179901     ,YP_216318.1   
 2475         , 62179922     ,YP_216339.1   
 2476         , 62179926     ,YP_216343.1   
 2477         , 62179927     ,YP_216344.1   
 2478         , 62179948     ,YP_216365.1   
 2479         , 62180037     ,YP_216454.1   
 2480         , 62180272     ,YP_216689.1   
 2481         , 62180290     ,YP_216707.1   
 2482         , 62180291     ,YP_216708.1   
 2483         , 62180292     ,YP_216709.1   
 2484         , 62180293     ,YP_216710.1   
 2485         , 62180312     ,YP_216729.1   
 2486         , 62180341     ,YP_216758.1   
 2487         , 62180472     ,YP_216889.1   
 2488         , 62180479     ,YP_216896.1   
 2489         , 62180519     ,YP_216936.1   
 2490         , 62180652     ,YP_217069.1   
 2491         , 62180654     ,YP_217071.1   
 2492         , 62180655     ,YP_217072.1   
 2493         , 62180845     ,YP_217262.1   
 2494         , 62180934     ,YP_217351.1   
 2495         , 62180940     ,YP_217357.1   
 2496         , 62180986     ,YP_217403.1   
 2497         , 62181054     ,YP_217471.1   
 2498         , 62181066     ,YP_217483.1   
 2499         , 62181078     ,YP_217495.1   
 2500         , 62181089     ,YP_217506.1   
 2501         , 62181119     ,YP_217536.1   
 2502         , 62181330     ,YP_217747.1   
 2503         , 62181332     ,YP_217749.1   
 2504         , 62181456     ,YP_217873.1   
 2505         , 62181457     ,YP_217874.1   
 2506         , 62181550     ,YP_217967.1   
 2507         , 62181573     ,YP_217990.1   
 2508         , 62181581     ,YP_217998.1   
 2509         , 62181600     ,YP_218017.1   
 2510         , 62181727     ,YP_218144.1   
 2511         , 62181728     ,YP_218145.1   
 2512         , 62181797     ,YP_218214.1   
 2513         , 62181798     ,YP_218215.1   
 2514         , 62181907     ,YP_218324.1   
 2515         , 62181912     ,YP_218329.1   
 2516         , 62181920     ,YP_218337.1   
 2517         , 62181924     ,YP_218341.1   
 2518         , 62181929     ,YP_218346.1   
 2519         , 62181931     ,YP_218348.1   
 2520         , 62181933     ,YP_218350.1   
 2521         , 62181937     ,YP_218354.1   
 2522         , 62181941     ,YP_218358.1   
 2523         , 62181942     ,YP_218359.1   
 2524         , 62181944     ,YP_218361.1   
 2525         , 62181972     ,YP_218389.1   
 2526         , 62181983     ,YP_218400.1   
 2527         , 62182160     ,YP_218577.1   
 2528         , 62182220     ,YP_218637.1   
 2529         , 62182221     ,YP_218638.1   
 2530         , 62182323     ,YP_218740.1   
 2531         , 62182342     ,YP_218759.1   
 2532         , 62182344     ,YP_218761.1   
 2533         , 62182346     ,YP_218763.1   
 2534         , 62182347     ,YP_218764.1   
 2535         , 62182349     ,YP_218766.1   
 2536         , 62182353     ,YP_218770.1   
 2537         , 62182379     ,YP_218796.1   
 2538         , 62182384     ,YP_218801.1   
 2539         , 62182391     ,YP_218808.1   
 2540         , 62182601     ,YP_219018.1   
 2541         , 62182602     ,YP_219019.1   
 2542         , 62182607     ,YP_219024.1   
 2543         , 62182626     ,YP_219043.1   
 2544         , 62182703     ,YP_219120.1   
 2545         , 62182779     ,YP_219196.1   
 2546         , 62182812     ,YP_219229.1   
 2547         , 62182885     ,YP_219302.1   
 2548         , 62182901     ,YP_219318.1   
 2549         , 62182961     ,YP_219378.1   
 2550         , 67005950     ,NP_418228.2   
 2551         , 73747959     ,YP_307198.1   
 2552         , 73747960     ,YP_307199.1   
 2553         , 73747962     ,YP_307201.1   
 2554         , 73748005     ,YP_307244.1   
 2555         , 73748013     ,YP_307252.1   
 2556         , 73748078     ,YP_307317.1   
 2557         , 73748125     ,YP_307364.1   
 2558         , 73748126     ,YP_307365.1   
 2559         , 73748210     ,YP_307449.1   
 2560         , 73748211     ,YP_307450.1   
 2561         , 73748213     ,YP_307452.1   
 2562         , 73748220     ,YP_307459.1   
 2563         , 73748224     ,YP_307463.1   
 2564         , 73748246     ,YP_307485.1   
 2565         , 73748272     ,YP_307511.1   
 2566         , 73748278     ,YP_307517.1   
 2567         , 73748283     ,YP_307522.1   
 2568         , 73748305     ,YP_307544.1   
 2569         , 73748307     ,YP_307546.1   
 2570         , 73748316     ,YP_307555.1   
 2571         , 73748318     ,YP_307557.1   
 2572         , 73748319     ,YP_307558.1   
 2573         , 73748323     ,YP_307562.1   
 2574         , 73748327     ,YP_307566.1   
 2575         , 73748329     ,YP_307568.1   
 2576         , 73748331     ,YP_307570.1   
 2577         , 73748336     ,YP_307575.1   
 2578         , 73748337     ,YP_307576.1   
 2579         , 73748338     ,YP_307577.1   
 2580         , 73748344     ,YP_307583.1   
 2581         , 73748346     ,YP_307585.1   
 2582         , 73748353     ,YP_307592.1   
 2583         , 73748372     ,YP_307611.1   
 2584         , 73748383     ,YP_307622.1   
 2585         , 73748387     ,YP_307626.1   
 2586         , 73748391     ,YP_307630.1   
 2587         , 73748392     ,YP_307631.1   
 2588         , 73748397     ,YP_307636.1   
 2589         , 73748401     ,YP_307640.1   
 2590         , 73748403     ,YP_307642.1   
 2591         , 73748404     ,YP_307643.1   
 2592         , 73748415     ,YP_307654.1   
 2593         , 73748416     ,YP_307655.1   
 2594         , 73748433     ,YP_307672.1   
 2595         , 73748439     ,YP_307678.1   
 2596         , 73748441     ,YP_307680.1   
 2597         , 73748443     ,YP_307682.1   
 2598         , 73748445     ,YP_307684.1   
 2599         , 73748507     ,YP_307746.1   
 2600         , 73748509     ,YP_307748.1   
 2601         , 73748557     ,YP_307796.1   
 2602         , 73748565     ,YP_307804.1   
 2603         , 73748571     ,YP_307810.1   
 2604         , 73748590     ,YP_307829.1   
 2605         , 73748635     ,YP_307874.1   
 2606         , 73748638     ,YP_307877.1   
 2607         , 73748640     ,YP_307879.1   
 2608         , 73748642     ,YP_307881.1   
 2609         , 73748643     ,YP_307882.1   
 2610         , 73748644     ,YP_307883.1   
 2611         , 73748646     ,YP_307885.1   
 2612         , 73748648     ,YP_307887.1   
 2613         , 73748650     ,YP_307889.1   
 2614         , 73748739     ,YP_307978.1   
 2615         , 73748740     ,YP_307979.1   
 2616         , 73748743     ,YP_307982.1   
 2617         , 73748750     ,YP_307989.1   
 2618         , 73748752     ,YP_307991.1   
 2619         , 73748761     ,YP_308000.1   
 2620         , 73748763     ,YP_308002.1   
 2621         , 73748800     ,YP_308039.1   
 2622         , 73748841     ,YP_308080.1   
 2623         , 73748877     ,YP_308116.1   
 2624         , 73748883     ,YP_308122.1   
 2625         , 73748888     ,YP_308127.1   
 2626         , 73748889     ,YP_308128.1   
 2627         , 73748891     ,YP_308130.1   
 2628         , 73748894     ,YP_308133.1   
 2629         , 73748905     ,YP_308144.1   
 2630         , 73748942     ,YP_308181.1   
 2631         , 73748946     ,YP_308185.1   
 2632         , 73748954     ,YP_308193.1   
 2633         , 73748961     ,YP_308200.1   
 2634         , 73748972     ,YP_308211.1   
 2635         , 73749019     ,YP_308258.1   
 2636         , 73749027     ,YP_308266.1   
 2637         , 73749049     ,YP_308288.1   
 2638         , 73749083     ,YP_308322.1   
 2639         , 73749084     ,YP_308323.1   
 2640         , 73749085     ,YP_308324.1   
 2641         , 73749094     ,YP_308333.1   
 2642         , 73749099     ,YP_308338.1   
 2643         , 73749100     ,YP_308339.1   
 2644         , 73749113     ,YP_308352.1   
 2645         , 73749150     ,YP_308389.1   
 2646         , 73749151     ,YP_308390.1   
 2647         , 73749154     ,YP_308393.1   
 2648         , 73749155     ,YP_308394.1   
 2649         , 73749334     ,YP_308573.1   
 2650         , 73749380     ,YP_308619.1   
 2651         , 73749403     ,YP_308642.1   
 2652         , 76800688     ,YP_325696.1   
 2653         , 76800696     ,YP_325704.1   
 2654         , 76800714     ,YP_325722.1   
 2655         , 76800763     ,YP_325771.1   
 2656         , 76800764     ,YP_325772.1   
 2657         , 76800791     ,YP_325799.1   
 2658         , 76800799     ,YP_325807.1   
 2659         , 76800827     ,YP_325835.1   
 2660         , 76800866     ,YP_325874.1   
 2661         , 76800878     ,YP_325886.1   
 2662         , 76800904     ,YP_325912.1   
 2663         , 76800957     ,YP_325965.1   
 2664         , 76801000     ,YP_326008.1   
 2665         , 76801007     ,YP_326015.1   
 2666         , 76801024     ,YP_326032.1   
 2667         , 76801055     ,YP_326063.1   
 2668         , 76801195     ,YP_326203.1   
 2669         , 76801262     ,YP_326270.1   
 2670         , 76801379     ,YP_326387.1   
 2671         , 76801395     ,YP_326403.1   
 2672         , 76801415     ,YP_326423.1   
 2673         , 76801495     ,YP_326503.1   
 2674         , 76801502     ,YP_326510.1   
 2675         , 76801630     ,YP_326638.1   
 2676         , 76801640     ,YP_326648.1   
 2677         , 76801670     ,YP_326678.1   
 2678         , 76801743     ,YP_326751.1   
 2679         , 76801779     ,YP_326787.1   
 2680         , 76801788     ,YP_326796.1   
 2681         , 76801839     ,YP_326847.1   
 2682         , 76801848     ,YP_326856.1   
 2683         , 76802065     ,YP_327073.1   
 2684         , 76802080     ,YP_327088.1   
 2685         , 76802132     ,YP_327140.1   
 2686         , 76802179     ,YP_327187.1   
 2687         , 76802221     ,YP_327229.1   
 2688         , 76802223     ,YP_327231.1   
 2689         , 76802235     ,YP_327243.1   
 2690         , 76802307     ,YP_327315.1   
 2691         , 76802387     ,YP_327395.1   
 2692         , 76802388     ,YP_327396.1   
 2693         , 76802397     ,YP_327405.1   
 2694         , 76802475     ,YP_327483.1   
 2695         , 76802483     ,YP_327491.1   
 2696         , 76802605     ,YP_327613.1   
 2697         , 76802620     ,YP_327628.1   
 2698         , 76802621     ,YP_327629.1   
 2699         , 76802623     ,YP_327631.1   
 2700         , 76802699     ,YP_330794.1   
 2701         , 76802766     ,YP_330861.1   
 2702         , 76802790     ,YP_330885.1   
 2703         , 76802839     ,YP_330934.1   
 2704         , 76802853     ,YP_330948.1   
 2705         , 76802884     ,YP_330979.1   
 2706         , 76802886     ,YP_330981.1   
 2707         , 76803059     ,YP_331154.1   
 2708         , 76803085     ,YP_331180.1   
 2709         , 76803093     ,YP_331188.1   
 2710         , 76803149     ,YP_331244.1   
 2711         , 76803150     ,YP_331245.1   
 2712         , 76803259     ,YP_331354.1   
 2713         , 86355672     ,YP_467564.1   
 2714         , 86355681     ,YP_467573.1   
 2715         , 86355689     ,YP_467581.1   
 2716         , 86355690     ,YP_467582.1   
 2717         , 86355713     ,YP_467605.1   
 2718         , 86355715     ,YP_467607.1   
 2719         , 86355776     ,YP_467668.1   
 2720         , 86355778     ,YP_467670.1   
 2721         , 86355805     ,YP_467697.1   
 2722         , 86355921     ,YP_467813.1   
 2723         , 86355922     ,YP_467814.1   
 2724         , 86355954     ,YP_467846.1   
 2725         , 86355971     ,YP_467863.1   
 2726         , 86356022     ,YP_467914.1   
 2727         , 86356027     ,YP_467919.1   
 2728         , 86356040     ,YP_467932.1   
 2729         , 86356069     ,YP_467961.1   
 2730         , 86356072     ,YP_467964.1   
 2731         , 86356130     ,YP_468022.1   
 2732         , 86356170     ,YP_468062.1   
 2733         , 86356193     ,YP_468085.1   
 2734         , 86356233     ,YP_468125.1   
 2735         , 86356467     ,YP_468359.1   
 2736         , 86356474     ,YP_468366.1   
 2737         , 86356478     ,YP_468370.1   
 2738         , 86356510     ,YP_468402.1   
 2739         , 86356514     ,YP_468406.1   
 2740         , 86356530     ,YP_468422.1   
 2741         , 86356532     ,YP_468424.1   
 2742         , 86356536     ,YP_468428.1   
 2743         , 86356835     ,YP_468727.1   
 2744         , 86356879     ,YP_468771.1   
 2745         , 86356911     ,YP_468803.1   
 2746         , 86357052     ,YP_468944.1   
 2747         , 86357063     ,YP_468955.1   
 2748         , 86357066     ,YP_468958.1   
 2749         , 86357087     ,YP_468979.1   
 2750         , 86357117     ,YP_469009.1   
 2751         , 86357126     ,YP_469018.1   
 2752         , 86357135     ,YP_469027.1   
 2753         , 86357146     ,YP_469038.1   
 2754         , 86357163     ,YP_469055.1   
 2755         , 86357224     ,YP_469116.1   
 2756         , 86357225     ,YP_469117.1   
 2757         , 86357268     ,YP_469160.1   
 2758         , 86357276     ,YP_469168.1   
 2759         , 86357291     ,YP_469183.1   
 2760         , 86357292     ,YP_469184.1   
 2761         , 86357297     ,YP_469189.1   
 2762         , 86357305     ,YP_469197.1   
 2763         , 86357307     ,YP_469199.1   
 2764         , 86357308     ,YP_469200.1   
 2765         , 86357312     ,YP_469204.1   
 2766         , 86357316     ,YP_469208.1   
 2767         , 86357318     ,YP_469210.1   
 2768         , 86357320     ,YP_469212.1   
 2769         , 86357325     ,YP_469217.1   
 2770         , 86357326     ,YP_469218.1   
 2771         , 86357329     ,YP_469221.1   
 2772         , 86357439     ,YP_469331.1   
 2773         , 86357446     ,YP_469338.1   
 2774         , 86357454     ,YP_469346.1   
 2775         , 86357482     ,YP_469374.1   
 2776         , 86357488     ,YP_469380.1   
 2777         , 86357536     ,YP_469428.1   
 2778         , 86357552     ,YP_469444.1   
 2779         , 86357726     ,YP_469618.1   
 2780         , 86357791     ,YP_469683.1   
 2781         , 86357792     ,YP_469684.1   
 2782         , 86357800     ,YP_469692.1   
 2783         , 86357812     ,YP_469704.1   
 2784         , 86357873     ,YP_469765.1   
 2785         , 86357888     ,YP_469780.1   
 2786         , 86357901     ,YP_469793.1   
 2787         , 86357937     ,YP_469829.1   
 2788         , 86357938     ,YP_469830.1   
 2789         , 86358172     ,YP_470064.1   
 2790         , 86358349     ,YP_470241.1   
 2791         , 86358556     ,YP_470448.1   
 2792         , 86358568     ,YP_470460.1   
 2793         , 86358617     ,YP_470509.1   
 2794         , 86358697     ,YP_470589.1   
 2795         , 86358942     ,YP_470834.1   
 2796         , 86359045     ,YP_470937.1   
 2797         , 86359073     ,YP_470965.1   
 2798         , 86359090     ,YP_470982.1   
 2799         , 86359122     ,YP_471014.1   
 2800         , 86359246     ,YP_471138.1   
 2801         , 86359247     ,YP_471139.1   
 2802         , 86359289     ,YP_471181.1   
 2803         , 86359399     ,YP_471291.1   
 2804         , 86359450     ,YP_471342.1   
 2805         , 86359451     ,YP_471343.1   
 2806         , 86359453     ,YP_471345.1   
 2807         , 86359476     ,YP_471368.1   
 2808         , 86359647     ,YP_471539.1   
 2809         , 86359648     ,YP_471540.1   
 2810         , 86359678     ,YP_471570.1   
 2811         , 86359694     ,YP_471586.1   
 2812         , 90111239     ,NP_415778.2   
 2813         , 90111354     ,NP_416423.4   
 2814         , 90111373     ,NP_416526.4   
 2815         , 91209071     ,YP_539057.1   
 2816         , 91209072     ,YP_539058.1   
 2817         , 91209083     ,YP_539069.1   
 2818         , 91209092     ,YP_539078.1   
 2819         , 91209113     ,YP_539099.1   
 2820         , 91209237     ,YP_539223.1   
 2821         , 91209241     ,YP_539227.1   
 2822         , 91209253     ,YP_539239.1   
 2823         , 91209332     ,YP_539318.1   
 2824         , 91209511     ,YP_539497.1   
 2825         , 91209512     ,YP_539498.1   
 2826         , 91209548     ,YP_539534.1   
 2827         , 91209597     ,YP_539583.1   
 2828         , 91209601     ,YP_539587.1   
 2829         , 91209687     ,YP_539673.1   
 2830         , 91209690     ,YP_539676.1   
 2831         , 91209757     ,YP_539743.1   
 2832         , 91209808     ,YP_539794.1   
 2833         , 91209933     ,YP_539919.1   
 2834         , 91209938     ,YP_539924.1   
 2835         , 91210009     ,YP_539995.1   
 2836         , 91210040     ,YP_540026.1   
 2837         , 91210245     ,YP_540231.1   
 2838         , 91210431     ,YP_540417.1   
 2839         , 91210466     ,YP_540452.1   
 2840         , 91210552     ,YP_540538.1   
 2841         , 91210553     ,YP_540539.1   
 2842         , 91210554     ,YP_540540.1   
 2843         , 91210555     ,YP_540541.1   
 2844         , 91210575     ,YP_540561.1   
 2845         , 91210851     ,YP_540837.1   
 2846         , 91210927     ,YP_540913.1   
 2847         , 91210933     ,YP_540919.1   
 2848         , 91210955     ,YP_540941.1   
 2849         , 91211085     ,YP_541071.1   
 2850         , 91211091     ,YP_541077.1   
 2851         , 91211132     ,YP_541118.1   
 2852         , 91211306     ,YP_541292.1   
 2853         , 91211308     ,YP_541294.1   
 2854         , 91211309     ,YP_541295.1   
 2855         , 91211524     ,YP_541510.1   
